Symbol name                                       Implemented
OSOrAtomic64                                      No
OSPanic                                           No
OSPeekMessage                                     No
OSQueryVirtAddr                                   No
OSReadRegister16                                  No
OSReadRegister32                                  No
OSRebootCrash                                     No
OSReceiveMessage                                  No
OSRegisterSystemModeCallback                      No
OSReleaseForeground                               No
OSReleaseSpinLock                                 No
OSReport                                          No
OSReportInfo                                      No
OSReportVerbose                                   No
OSReportWarn                                      No
OSRequestFastExit                                 No
OSReschedule                                      No
OSResetEvent                                      No
OSResetStopwatch                                  No
OSRestartCrashedApp                               No
OSRestartGame                                     No
OSRestoreInterrupts                               No
OSResumeThread                                    No
OSRunThread                                       No
OSRunThreadsOnExit                                No
OSSaveContext                                     No
OSSaveCoroutine                                   No
OSSaveFPUContext                                  No
OSSavesDone_ReadyToRelease                        No
OSScreenClearBufferEx                             Yes
OSScreenEnableEx                                  No
OSScreenFlipBuffersEx                             No
OSScreenGetBufferSizeEx                           Yes
OSScreenInit                                      Yes
OSScreenPutFontEx                                 Yes
OSScreenPutPixelEx                                No
OSScreenSetBufferEx                               Yes
OSScreenShutdown                                  No
OSSendAppSwitchRequest                            No
OSSendFatalError                                  No
OSSendMessage                                     No
OSSendPolicyRequest                               No
OSSetAlarm                                        No
OSSetAlarmEx                                      No
OSSetAlarmTag                                     No
OSSetAlarmUserData                                No
OSSetAtomic64                                     No
OSSetCrashDetailLevel                             No
OSSetCrashDumpType                                No
OSSetCurrentContext                               No
OSSetCurrentFPUContext                            No
OSSetDABR                                         No
OSSetExceptionCallback                            No
OSSetExceptionCallbackEx                          No
OSSetIABR                                         No
OSSetInfo                                         No
OSSetMemBound                                     No
OSSetPanicCallback                                No
OSSetPerformanceMonitor                           No
OSSetPeriodicAlarm                                No
OSSetPeriodicAlarmEx                              No
OSSetScreenCapturePermission                      No
OSSetScreenCapturePermissionEx                    No
OSSetSwitchThreadCallback                         No
OSSetThreadAffinity                               No
OSSetThreadCancelState                            No
OSSetThreadCleanupCallback                        No
OSSetThreadDeallocator                            No
OSSetThreadName                                   No
OSSetThreadPriority                               No
OSSetThreadRunQuantum                             No
OSSetThreadSpecific                               No
OSSetThreadStackUsage                             No
OSSetTimestampLevel                               No
OSShutdown                                        No
OSSignalCond                                      No
OSSignalEvent                                     No
OSSignalEventAll                                  No
OSSignalSemaphore                                 No
OSSleepThread                                     No
OSSleepTicks                                      Yes
OSStartStopwatch                                  No
OSStopStopwatch                                   No
OSStopWatchLap                                    No
OSStopWatchReset                                  No
OSStopWatchStart                                  No
OSStopWatchStop                                   No
OSSupressConsoleOutput                            No
OSSuspendThread                                   No
OSSwapAtomic                                      No
OSSwapAtomic64                                    No
OSSwitchCoroutine                                 No
OSSwitchFiber                                     No
OSSwitchFiberEx                                   No
OSSwitchSecCodeGenMode                            No
OSSwitchStack                                     No
OSTestAndClearAtomic                              No
OSTestAndClearAtomic64                            No
OSTestAndSetAtomic                                No
OSTestAndSetAtomic64                              No
OSTestThreadCancel                                No
OSTest_Do                                         No
OSTicksToCalendarTime                             No
OSTryAcquireSpinLock                              No
OSTryAcquireSpinLockWithTimeout                   No
OSTryLockMutex                                    No
OSTryWaitSemaphore                                No
OSUninterruptibleSpinLock_Acquire                 No
OSUninterruptibleSpinLock_Release                 No
OSUninterruptibleSpinLock_TryAcquire              No
OSUninterruptibleSpinLock_TryAcquireWithTimeout   No
OSUnlockMutex                                     No
OSUnmapMemory                                     No
OSVReport                                         No
OSWaitAlarm                                       No
OSWaitCond                                        No
OSWaitEvent                                       No
OSWaitEventWithTimeout                            No
OSWaitMicroseconds                                No
OSWaitRendezvous                                  No
OSWaitRendezvousWithTimeout                       No
OSWaitSemaphore                                   No
OSWakeupThread                                    No
OSWriteRegister16                                 No
OSWriteRegister32                                 No
OSXorAtomic                                       No
OSXorAtomic64                                     No
OSYieldThread                                     No
PMBegin                                           No
PMCycles                                          No
PMEnd                                             No
PMInstructions                                    No
PML1FetchMisses                                   No
PML1MissCycles                                    No
PPCAndCMsr                                        No
PPCAndMsr                                         No
PPCDisableSpeculation                             No
PPCEieio                                          No
PPCEnableSpeculation                              No
PPCHalt                                           No
PPCIsync                                          No
PPCMfdec                                          No
PPCMfdmaL                                         No
PPCMfdmaU                                         No
PPCMffpscr                                        No
PPCMfhid0                                         No
PPCMfhid1                                         No
PPCMfhid2                                         No
PPCMfhid4                                         No
PPCMfl2cr                                         No
PPCMfmmcr0                                        No
PPCMfmmcr1                                        No
PPCMfmsr                                          No
PPCMfpir                                          No
PPCMfpmc1                                         No
PPCMfpmc2                                         No
PPCMfpmc3                                         No
PPCMfpmc4                                         No
PPCMfpvr                                          No
PPCMfsia                                          No
PPCMfsprg0                                        No
PPCMfwpar                                         No
PPCMtdec                                          No
PPCMtdmaL                                         No
PPCMtdmaU                                         No
PPCMtfpscr                                        No
PPCMthid0                                         No
PPCMthid2                                         No
PPCMthid4                                         No
PPCMtl2cr                                         No
PPCMtmmcr0                                        No
PPCMtmmcr1                                        No
PPCMtmsr                                          No
PPCMtpmc1                                         No
PPCMtpmc2                                         No
PPCMtpmc3                                         No
PPCMtpmc4                                         No
PPCMtsia                                          No
PPCMtwpar                                         No
PPCOrMsr                                          No
PPCSetFpIEEEMode                                  No
PPCSetFpNonIEEEMode                               No
PPCSync                                           No
UCClose                                           No
UCDeleteSysConfig                                 No
UCDeleteSysConfigAsync                            No
UCListSysConfig                                   No
UCListSysConfigAsync                              No
UCOpen                                            No
UCQuerySysConfig                                  No
UCQuerySysConfigAsync                             No
UCReadSysConfig                                   No
UCReadSysConfigAsync                              No
UCWriteSysConfig                                  No
UCWriteSysConfigAsync                             No
_Exit                                             No
__FSAShimAllocateBuffer                           No
__FSAShimCheckClientHandle                        No
__FSAShimDecodeIosErrorToFsaStatus                No
__FSAShimFreeBuffer                               No
__KernelAllocateTimer                             No
__KernelFreeTimer                                 No
__KernelGetInfo                                   No
__KernelPrimeTimer                                No
__KernelSendICI                                   No
__KernelSetUserModeExHandler                      No
__KernelStopTimer                                 No
__OSAcquireIdLock                                 No
__OSAppendCopyData                                No
__OSBoostThreadPriority                           No
__OSCalendarTimeToPOSIXTime                       No
__OSClearAndEnableInterrupt                       No
__OSClearAppCrash                                 No
__OSClearCopyData                                 No
__OSClearSavedFrame                               No
__OSConsoleWrite                                  No
__OSCreateThreadType                              No
__OSDeboostThreadPrioriy                          No
__OSDisableInterrupt                              No
__OSDisableScheduler                              No
__OSDumpActiveThreads                             No
__OSEnableScheduler                               No
__OSSpinLock                                      No
__OSSpinUnlock                                    No
__OSGetAppCrashControl                            No
__OSGetAppFlags                                   No
__OSGetCopyArea                                   No
__OSGetCopyDataPtr                                No
__OSGetCopyDataSize                               No
__OSGetCosReportMasks                             No
__OSGetCrashDetailLevel                           No
__OSGetCrashRecovery                              No
__OSGetEffectivePriority                          No
__OSGetKernelStatistics                           No
__OSGetProcDataBounds                             No
__OSGetProcessSDKVersion                          No
__OSGetSavedAudioFlags                            No
__OSGetSavedFrame                                 No
__OSGetSavedFrameA                                No
__OSGetSavedFrameB                                No
__OSGetSavedFrameGammaA                           No
__OSGetSavedFrameGammaB                           No
__OSGetSavedFramePtr                              No
__OSGetSavedFramePtrForRead                       No
__OSGetSavedFramePtrForWrite                      No
__OSGetSavedFrames                                No
__OSGetSavedFramesA                               No
__OSGetSavedFramesB                               No
__OSGetStatistics                                 No
__OSGetSwitchTarget                               No
__OSGetSymbolName                                 No
__OSGetTestSetting                                No
__OSGetTimestampLevel                             No
__OSGetTitleVersion                               No
__OSGetTransitionAudioBuffer                      No
__OSGetTransitionAudioSize                        No
__OSGetWriteGatherRegs                            No
__OSHandleECOPowerEventOnBoot                     No
__OSHandlePowerEvents                             No
__OSIsProcessRunning                              No
__OSLockScheduler                                 No
__OSLogReportKernel                               No
__OSPhysicalToEffectiveCached                     No
__OSPhysicalToEffectiveUncached                   No
__OSReadRegister32Ex                              No
__OSRecycle                                       No
__OSReleaseIdLock                                 No
__OSReschedule                                    No
__OSResetSavedFrame                               No
__OSResizeCopyData                                No
__OSRootLoadShared                                No
__OSSaveCosReportMasks                            No
__OSSaveCrashDetailLevel                          No
__OSSaveCrashRecovery                             No
__OSSaveTimestampLevel                            No
__OSSaveWGData                                    No
__OSSendMessageInternal                           No
__OSSetAbsoluteSystemTime                         No
__OSSetAbsoluteSystemTimeUserMode                 No
__OSSetAndLoadContext                             No
__OSSetAppCrashControl                            No
__OSSetCoreTrace                                  No
__OSSetCosReportMasks                             No
__OSSetCrashDetailLevel                           No
__OSSetCrashRecovery                              No
__OSSetCurrentUserContext                         No
__OSSetDABR                                       No
__OSSetDumpMode                                   No
__OSSetIABR                                       No
__OSSetInterruptHandler                           No
__OSSetLastError                                  No
__OSSetLaunchTimeout                              No
__OSSetSavedAudioFlags                            No
__OSSetSavedFrame                                 No
__OSSetSavedFrameGamma                            No
__OSSetTestSetting                                No
__OSSetTimestampLevel                             No
__OSSetTransitionAudioSize                        No
__OSSuspendThreadNolock                           No
__OSTestAssistReadPhysical32                      No
__OSTestSystemMode                                No
__OSTouchSchedulerLock                            No
__OSTryLockScheduler                              No
__OSTrySpinLock                                   No
__OSUnlockScheduler                               No
__OSValidateAddressSpaceRange                     No
__OSWriteRegister32Ex                             No
__OSZeroProcessMemory                             No
__PPCExit                                         No
__PPCHalt                                         No
__get_eh_globals                                  No
__get_eh_init_block                               No
__get_eh_mem_manage                               No
__get_eh_store_globals                            No
__get_eh_store_globals_tdeh                       No
__gh_errno_ptr                                    No
__gh_get_errno                                    No
__gh_iob_init                                     No
__gh_lock_init                                    No
__gh_set_errno                                    No
__ghsLock                                         No
__ghsUnlock                                       No
__ghs_at_exit                                     No
__ghs_at_exit_cleanup                             No
__ghs_flock_create                                No
__ghs_flock_destroy                               No
__ghs_flock_file                                  No
__ghs_flock_ptr                                   No
__ghs_ftrylock_file                               No
__ghs_funlock_file                                No
__ghs_mtx_dst                                     No
__ghs_mtx_init                                    No
__ghs_mtx_lock                                    No
__ghs_mtx_unlock                                  No
__os_snprintf                                     No
__tls_get_addr                                    No
bspGetConsoleTypeRaw                              No
bspGetEntityVersion                               No
bspGetHardwareVersion                             No
bspInitialize                                     No
bspInitializeShimInterface                        No
bspQuery                                          No
bspRead                                           No
bspShutdown                                       No
bspWrite                                          No
exit                                              No
memclr                                            No
memcpy                                            No
memmove                                           No
memset                                            No
smdPpcClose                                       No
smdPpcGetCtrlTableVectors                         No
smdPpcGetInterfaceState                           No
smdPpcInit                                        No
smdPpcOpen                                        No
smdPpcReceive                                     No
smdPpcSendMessage                                 No
smdPpcSendVector                                  No
smdPpcSendVectorSpec                              No
smdSimpleBufAlloc                                 No
smdSimpleBufFree                                  No
smdSimpleBufGetStatistics                         No
smdSimpleBufPoolCreate                            No
MEMAllocFromDefaultHeap                           No
MEMAllocFromDefaultHeapEx                         No
MEMFreeToDefaultHeap                              No
OSDynLoad_gLoaderLock                             No
__OSCurrentThread                                 No
__OSPlatformInfo                                  No
__OSSchedulerLock                                 No
__atexit_cleanup                                  No
__cpp_exception_cleanup_ptr                       No
__cpp_exception_init_ptr                          No
__gh_FOPEN_MAX                                    No
__ghs_cpp_locks                                   No
__stdio_cleanup                                   No
_iob                                              No
_iob_lock                                         No
environ                                           No
errno                                             No
start                                             No
